,City,Latitude,Longitude,Max_temp,Humidity,Cloudiness,Wind_speed,Country,Date
293,Taku,39.0211,117.6469,53.6,43,100,4.47,CN,1616140249
294,Ol'ga,43.7444,135.2892,41.79,43,95,1.63,RU,1616140250
295,Invermere,50.5167,-116.0354,41.0,63,15,1.01,CA,1616140252
296,Alugan,12.2188,125.4808,84.16,69,19,7.14,PH,1616140253
297,Kavieng,-2.5744,150.7967,83.77,73,90,6.96,PG,1616140254
298,Vardø,70.3705,31.1107,19.4,86,20,18.41,NO,1616140256
299,Donskoye,45.4552,41.9741,44.6,65,40,20.13,RU,1616140257
300,Fairview,40.8126,-73.999,37.4,69,90,10.36,US,1616140259
301,Jacareacanga,-6.2222,-57.7528,71.11,99,100,1.28,BR,1616140261
302,Assiut,27.181,31.1837,62.6,45,0,5.75,EG,1616140263
303,Puerto del Rosario,28.5004,-13.8627,62.6,72,20,13.8,ES,1616140264
304,Ambon City,-3.6954,128.1814,86.0,70,40,4.61,ID,1616140265
305,Kuusamo,65.9667,29.1833,3.2,85,0,10.36,FI,1616140267
306,Ouro Preto do Oeste,-10.7481,-62.2158,70.86,99,100,0.76,BR,1616140268
307,Jahānābād,25.2167,84.9833,91.4,27,40,6.91,IN,1616140270
308,Pitimbu,-7.4706,-34.8086,73.4,100,20,3.44,BR,1616140271
309,Chuguyevka,44.1653,133.8633,36.39,69,99,3.18,RU,1616140272
310,Anadyr,64.75,177.4833,-18.0,76,0,4.47,RU,1616140274
311,Glinde,53.55,10.2,35.01,93,0,5.75,DE,1616140275
312,Somerset,40.5668,-74.5496,39.2,56,90,14.97,US,1616140277
313,Otavi,-19.65,17.3333,74.95,62,76,12.5,NA,1616140278
314,Kashin,57.3592,37.6081,25.9,89,64,6.85,RU,1616140279
315,Coahuayana Viejo,18.7333,-103.6833,66.45,84,0,3.31,MX,1616140281
316,Chipinge,-20.1883,32.6236,77.22,49,0,3.71,ZW,1616140283
317,Seymchan,62.8833,152.4333,-15.07,90,51,4.09,RU,1616140285
318,Baykit,61.67,96.37,25.14,86,100,9.46,RU,1616140286
319,Narsaq,60.9167,-46.05,24.8,50,20,6.91,GL,1616140288
320,Mitsamiouli,-11.3847,43.2844,84.51,71,60,3.02,KM,1616140289
321,Kāzerūn,29.6195,51.6541,78.93,22,100,6.53,IR,1616140181
322,Saint Anthony,45.0205,-93.218,35.6,59,1,4.45,US,1616140292
323,Castro,-24.7911,-50.0119,62.31,96,84,6.85,BR,1616140293
324,Dudinka,69.4058,86.1778,-14.73,88,100,1.77,RU,1616140294
325,Edéia,-17.3383,-49.9314,67.3,93,100,3.11,BR,1616140296
326,Bartica,6.4,-58.6167,69.8,100,20,2.3,GY,1616140297
327,Mange,8.9167,-12.85,77.0,83,75,0.47,SL,1616140299
328,Äänekoski,62.6946,25.818,17.01,79,20,9.22,FI,1616140300
329,Port Pirie,-33.1833,138.0167,82.4,44,67,12.66,AU,1616140301
330,Anáhuac,27.2333,-100.15,57.87,36,0,3.02,MX,1616140303
331,Fougamou,-1.2154,10.5838,77.0,94,90,1.83,GA,1616140304
332,Atasū,48.6814,71.6433,34.54,66,15,13.47,KZ,1616140306
333,Montepuez,-13.1256,38.9997,79.09,75,45,4.61,MZ,1616140307
334,Koungheul,13.9833,-14.8,65.55,67,19,6.31,SN,1616140308
335,Mogadishu,2.0371,45.3438,86.0,62,40,12.66,SO,1616140310
336,Norman Wells,65.282,-126.8329,3.2,85,90,16.11,CA,1616140311
337,Evensk,61.95,159.2333,7.03,76,100,10.54,RU,1616140313
338,Rauma,61.1272,21.5113,19.4,68,0,9.22,FI,1616140314
339,Morondava,-20.2833,44.2833,85.37,69,28,6.44,MG,1616140315
340,Coyhaique,-45.5752,-72.0662,42.67,97,48,6.71,CL,1616140082
341,Tigzirt,36.8886,4.1198,50.99,78,100,9.6,DZ,1616140318
342,Labuhan,-6.8844,112.2051,85.23,75,8,11.56,ID,1616140321
343,Richards Bay,-28.783,32.0377,82.87,64,0,2.71,ZA,1616140322
344,Broken Hill,-31.95,141.4333,80.6,41,40,20.71,AU,1616140323
345,Kuril'sk,45.2333,147.8833,23.14,84,100,15.48,RU,1616140325
346,Matagami,49.7502,-77.6328,-5.8,92,1,3.04,CA,1616140326
347,Maraã,-1.8333,-65.3667,71.19,99,97,2.44,BR,1616140329
348,Pangnirtung,66.1451,-65.7125,-16.51,70,0,3.69,CA,1616140330
349,Panguna,-6.3164,155.4848,71.02,94,100,1.72,PG,1616140332
350,Samarinda,-0.5,117.15,83.64,82,100,4.34,ID,1616140333
351,Antsohihy,-14.8796,47.9875,88.72,65,69,2.06,MG,1616140335
352,Béboto,8.2668,16.939,78.01,61,100,7.02,TD,1616140336
353,Dzaoudzi,-12.7887,45.2699,87.8,74,0,4.61,YT,1616140337
354,Naze,28.3667,129.4833,75.2,73,75,11.5,JP,1616140339
355,Sambava,-14.2667,50.1667,84.15,66,100,9.62,MG,1616140340
356,Karakol,42.4907,78.3936,37.27,47,0,2.44,KG,1616140342
357,Vincennes,48.85,2.4333,39.99,81,40,13.8,FR,1616140343
358,Leshukonskoye,64.8989,45.7622,9.23,93,100,6.8,RU,1616140345
359,Pskov,57.8136,28.3496,26.6,50,0,15.66,RU,1616140132
360,La Rioja,-29.4111,-66.8507,62.56,79,99,3.94,AR,1616140347
361,Bambanglipuro,-7.95,110.2833,83.95,74,59,12.21,ID,1616140349
362,Sechura,-5.5569,-80.8222,75.65,73,100,9.31,PE,1616140350
363,Iwanai,42.9744,140.5089,35.35,76,98,4.81,JP,1616140351
364,Rocha,-34.4833,-54.3333,51.76,83,0,2.1,UY,1616140353
365,Hornepayne,49.2138,-84.7705,21.43,87,0,9.48,CA,1616140354
366,Teya,60.3778,92.6267,26.38,85,100,12.8,RU,1616140356
367,Belmonte,-15.8631,-38.8828,73.4,94,40,2.3,BR,1616140357
368,Mayumba,-3.432,10.6554,79.25,85,100,5.14,GA,1616140358
369,Sioux Lookout,50.1001,-91.917,32.0,40,1,5.75,CA,1616140360
370,Conceição do Araguaia,-8.2578,-49.2647,71.28,98,100,4.76,BR,1616140361
371,Dekernes,31.0876,31.595,64.4,59,0,4.61,EG,1616140363
372,Clarence Town,-32.5833,151.7833,69.8,88,90,13.8,AU,1616140286
373,Veinticinco de Mayo,-35.4323,-60.1727,48.99,62,19,1.01,AR,1616140365
374,Smithers,54.7804,-127.1743,33.8,100,40,2.3,CA,1616140368
375,Oddur,4.1213,43.8894,83.79,58,25,18.59,SO,1616140370
376,Mastic Beach,40.7668,-72.8521,34.0,100,100,8.01,US,1616140372
377,Ous,60.9058,61.5186,29.21,90,100,3.09,RU,1616140373
378,Salta,-24.7859,-65.4117,59.0,94,90,1.14,AR,1616140375
379,Muleba,-1.8397,31.6544,68.0,88,75,5.73,TZ,1616140376
380,Wagar,16.1525,36.2032,90.09,32,26,7.92,SD,1616140377
381,Tiarei,-17.5333,-149.3333,82.0,74,40,4.61,PF,1616140379
382,Greenfield,42.9614,-88.0126,35.01,74,1,8.05,US,1616140207
383,Onega,63.9061,38.1404,12.54,86,81,5.68,RU,1616140381
384,Ilulissat,69.2167,-51.1,15.8,53,20,19.57,GL,1616140383
385,Solnechnyy,50.7214,136.6319,25.66,76,100,1.9,RU,1616140384
386,Anderson,34.5334,-82.6499,50.0,66,1,12.66,US,1616140347
388,Aklavik,68.2191,-135.0107,-13.0,77,99,5.75,CA,1616140388
389,Matara,5.9485,80.5353,82.96,70,100,1.97,LK,1616140390
390,Cairns,-16.9167,145.7667,84.0,69,40,4.61,AU,1616140391
391,Fort Nelson,58.8053,-122.7002,35.6,55,75,4.61,CA,1616140392
392,Gamba,-2.65,10.0,76.51,90,100,3.76,GA,1616140394
393,Edson,53.5835,-116.4356,32.0,69,1,4.61,CA,1616140123
394,Guiratinga,-16.3494,-53.7583,68.74,98,100,2.48,BR,1616140396
395,Ketchikan,55.3422,-131.6461,37.62,98,100,2.89,US,1616140398
396,Lázaro Cárdenas,17.9583,-102.2,70.2,81,0,4.99,MX,1616140399
397,Priargunsk,50.3691,119.1012,24.19,83,24,2.91,RU,1616140401
398,Campoverde,-8.4753,-74.8058,71.71,98,97,1.79,PE,1616140403
399,Abonnema,4.7084,6.7931,73.4,94,75,8.05,NG,1616140405
400,Gulu,2.7746,32.299,77.4,66,81,4.88,UG,1616140406
401,Puerto Baquerizo Moreno,-0.9,-89.6,78.93,77,28,6.33,EC,1616140360
402,At-Bashi,41.1702,75.8106,33.71,58,0,0.29,KG,1616140410
403,Moussoro,13.6408,16.4901,95.14,11,11,10.54,TD,1616140411
404,Bethel,41.3712,-73.414,36.0,65,100,4.0,US,1616140413
405,Tura,25.5198,90.2201,92.59,15,99,6.35,IN,1616140414
406,Khandyga,62.6667,135.6,0.79,89,85,2.89,RU,1616140417
407,Teyateyaneng,-29.1472,27.7489,62.6,77,0,3.98,LS,1616140418
408,Marevo,57.3146,32.0804,27.48,85,100,6.24,RU,1616140419
409,Biak,-0.9131,122.8766,83.21,75,99,1.45,ID,1616140421
410,Clyde River,70.4692,-68.5914,-22.0,76,1,1.86,CA,1616140335
411,Ballina,-28.8667,153.5667,77.0,78,90,10.36,AU,1616140263
412,Røros,62.5747,11.3842,21.2,86,75,3.44,NO,1616140425
413,Rørvik,64.8621,11.2373,32.0,69,75,12.66,NO,1616140426
414,Lixouri,38.2019,20.4314,53.6,94,40,6.91,GR,1616140427
415,Blackwater,-23.5833,148.8833,78.55,75,96,10.0,AU,1616140429
416,Salalah,17.0151,54.0924,82.4,61,0,8.05,OM,1616140430
417,High Level,58.5169,-117.136,28.4,86,75,2.3,CA,1616140432
418,Nanortalik,60.1432,-45.2371,24.3,77,43,4.81,GL,1616140433
419,Gandajika,-6.75,23.95,80.38,69,15,2.8,CD,1616140434
420,Krasnosel'kup,65.7,82.4667,14.14,93,100,8.28,RU,1616140436
421,Havre-St-Pierre,50.2334,-63.5986,10.4,61,1,18.41,CA,1616140437
422,Osorno,-40.5667,-73.15,42.8,87,0,1.14,CL,1616140440
423,Padang,-0.9492,100.3543,86.0,66,20,9.22,ID,1616140441
424,Shubarshi,48.5872,57.1869,33.87,100,81,16.13,KZ,1616140443
425,Dyat'kovo,53.5978,34.3382,33.8,86,75,4.47,RU,1616140444
426,Campos Novos,-27.4017,-51.225,62.83,89,90,4.9,BR,1616140445
427,Price,39.5994,-110.8107,37.4,65,1,10.36,US,1616140448
428,Bāsār,27.9833,94.6667,87.8,37,20,4.61,IN,1616140449
429,Ust'-Ishim,57.6935,71.1665,31.91,80,100,10.92,RU,1616140452
430,Fortuna Foothills,32.6578,-114.4119,60.8,35,1,3.44,US,1616140453
431,Henties Bay,-22.116,14.2845,63.0,90,60,8.99,NA,1616140455
432,Wagga Wagga,-35.1167,147.3667,77.0,47,81,23.02,AU,1616140456
433,Port Said,31.2565,32.2841,64.4,59,0,4.61,EG,1616140457
434,Pasaje,-3.3333,-79.8167,74.88,95,100,1.66,EC,1616140459
435,Marzuq,14.4,46.4667,85.66,8,0,7.54,YE,1616140460
436,Bosaso,11.2842,49.1816,80.6,78,0,10.36,SO,1616140462
437,Gerāsh,27.6652,54.1371,87.8,15,0,8.79,IR,1616140463
438,Vitim,59.4511,112.5578,24.78,90,100,11.99,RU,1616140465
439,Lykhivka,48.6874,33.9228,38.08,66,19,7.65,UA,1616140466
440,Noumea,-22.2763,166.4572,78.8,69,20,1.14,NC,1616140468
441,Turaif,31.6725,38.6637,53.6,66,0,3.71,SA,1616140469
442,Lethem,3.3803,-59.7968,74.46,74,99,11.79,GY,1616140470
443,Shimoda,34.6667,138.95,60.8,67,75,10.36,JP,1616140472
444,Narrabri,-30.3167,149.7833,80.6,39,33,16.11,AU,1616140473
445,Taldan,53.6667,124.8,27.27,69,97,2.04,RU,1616140474
446,Yārāda,17.65,83.2667,95.0,31,100,10.36,IN,1616140476
447,Havelock,34.8791,-76.9013,62.01,93,0,3.0,US,1616140340
448,Yelizovo,53.1873,158.3805,39.2,56,75,8.95,RU,1616140478
449,Lagos,6.5833,3.75,73.4,94,20,3.44,NG,1616140326
450,Koungou,-12.7336,45.2042,87.8,74,0,4.61,YT,1616140481
451,Buraidah,26.326,43.975,73.4,35,0,8.05,SA,1616140336
452,Te Anau,-45.4167,167.7167,50.94,90,0,4.7,NZ,1616140484
453,Kerrobert,51.9168,-109.1348,41.0,70,1,10.36,CA,1616140485
454,Waingapu,-9.6567,120.2641,84.24,79,100,10.27,ID,1616140486
455,Boa Vista,2.8197,-60.6733,77.0,78,0,10.36,BR,1616140488
456,Barra de Tecoanapa,16.5167,-98.75,72.68,77,0,4.18,MX,1616140489
457,Guarapari,-20.6667,-40.4975,71.6,94,0,4.61,BR,1616140492
458,Mandera,3.9366,41.867,90.99,43,7,9.66,KE,1616140493
459,Noyabrsk,63.1994,75.4507,28.51,89,100,14.5,RU,1616140495
460,Kahului,20.8947,-156.47,68.0,73,1,11.5,US,1616140306
461,Cayenne,4.9333,-52.3333,78.01,94,90,7.18,GF,1616140498
462,Kailua,21.4022,-157.7394,69.8,73,90,18.41,US,1616140500
463,Huarmey,-10.0681,-78.1522,70.68,78,100,5.68,PE,1616140501
464,Dzilam González,21.2833,-88.9333,72.91,88,32,7.81,MX,1616140503
465,Lata,40.1629,-8.3327,48.99,62,5,1.01,PT,1616140505
466,Bratsk,56.1325,101.6142,23.0,58,40,15.66,RU,1616140506
467,La Unión,-5.4,-80.75,76.82,66,100,8.77,PE,1616140508
468,Rawson,-43.3002,-65.1023,64.11,43,1,17.13,AR,1616140291
469,Hailun,47.45,126.9333,38.1,43,3,3.6,CN,1616140510
470,Pouébo,-20.4,164.5667,77.02,84,100,13.27,NC,1616140512
471,Bose,45.4612,8.0137,43.0,71,100,3.0,IT,1616140513
472,Tūkrah,32.5341,20.5791,67.3,46,17,8.41,LY,1616140514
473,Salinópolis,-0.6136,-47.3561,76.87,86,90,5.1,BR,1616140516
474,Kabinda,-6.1333,24.4833,83.28,64,43,2.21,CD,1616140517
475,Tezu,27.9167,96.1667,96.46,14,93,4.79,IN,1616140519
476,Velasco Ibarra,-1.05,-79.6167,73.17,92,100,0.31,EC,1616140521
477,Martapura,-3.4167,114.85,93.2,55,40,3.44,ID,1616140523
478,Acajutla,13.5928,-89.8275,71.01,92,68,4.88,SV,1616140526
479,Saldanha,-33.0117,17.9442,66.2,72,0,17.27,ZA,1616140528
480,Alyangula,-13.8483,136.4192,82.33,79,100,15.61,AU,1616140529
481,Khāsh,28.2211,61.2158,82.51,12,0,12.12,IR,1616140531
482,Paramonga,-10.6667,-77.8333,70.23,79,100,4.85,PE,1616140532
483,Emerald,-23.5333,148.1667,86.0,54,90,11.5,AU,1616140533
485,Igrim,63.1906,64.4162,25.48,94,100,5.86,RU,1616140536
486,Kudahuvadhoo,2.6708,72.8944,83.28,70,29,7.54,MV,1616140538
487,Ixtapa,20.7,-105.2,64.99,85,0,2.04,MX,1616140539
488,Dukhovnitskoye,52.4828,48.2137,30.16,90,100,16.82,RU,1616140540
489,Grindavik,63.8424,-22.4338,44.6,100,90,23.02,IS,1616140542
490,Juneau,58.3019,-134.4197,33.01,86,75,3.44,US,1616140448
491,Udimskiy,61.1417,45.9144,20.48,94,98,5.82,RU,1616140544
492,Talnakh,69.4865,88.3972,-12.14,92,100,4.0,RU,1616140546
493,Chicama,-7.8447,-79.1469,71.87,74,100,5.39,PE,1616140547
494,Arlit,18.7369,7.3853,86.61,11,0,3.51,NE,1616140548
495,Dunedin,-45.8742,170.5036,55.99,77,43,8.99,NZ,1616140550
496,Portland,45.5234,-122.6762,46.0,87,53,1.01,US,1616140014
497,Makakilo City,21.3469,-158.0858,69.8,68,90,9.22,US,1616140268
498,Constitución,-35.3333,-72.4167,51.48,86,0,3.71,CL,1616140554
499,Hofn,64.2539,-15.2082,44.78,92,15,10.02,IS,1616140555
500,Bāglung,28.2719,83.5898,84.96,11,100,7.0,NP,1616140556
501,Goderich,43.7501,-81.7165,26.6,54,0,11.5,CA,1616140558
502,Palmer,42.1584,-72.3287,35.6,51,90,14.97,US,1616140559
503,Batagay,67.6333,134.6333,5.38,89,100,6.2,RU,1616140561
504,Kupang,-10.1667,123.5833,84.2,79,75,6.91,ID,1616140562
505,Sumbawanga,-7.9667,31.6167,71.6,60,20,4.61,TZ,1616140563
506,Kavaratti,10.5669,72.642,84.09,66,59,7.45,IN,1616140565
507,Bereda,43.2686,-7.5406,45.0,100,100,3.0,ES,1616140566
508,North Bend,43.4065,-124.2243,48.0,81,75,9.22,US,1616140568
509,Iracoubo,5.4802,-53.2011,75.29,83,91,8.01,GF,1616140570
510,Obo,5.3998,26.4869,88.77,46,41,3.4,CF,1616140572
511,Olinda,-8.0089,-34.8553,75.2,83,40,4.61,BR,1616140335
512,Lima,-12.0432,-77.0282,70.0,83,0,4.61,PE,1616140574
513,Prince Rupert,54.3161,-130.3201,42.8,81,40,8.05,CA,1616140475
514,Fort Morgan,40.2503,-103.8,28.4,86,1,2.24,US,1616140577
515,Orapa,-21.2833,25.3667,83.66,36,0,12.08,BW,1616140578
516,Changping,40.2186,116.2197,57.99,46,100,6.71,CN,1616140580
517,Yeppoon,-23.1333,150.7333,80.6,69,75,10.36,AU,1616140581
518,Aswān,24.0934,32.907,79.66,15,0,13.11,EG,1616140469
519,Huilong,31.8111,121.655,55.0,96,96,11.05,CN,1616140583
520,Guerrero Negro,27.9769,-114.0611,57.04,82,13,11.79,MX,1616140330
521,Bilma,18.6853,12.9164,91.15,12,1,7.61,NE,1616140586
522,Zaida,34.0603,72.4678,83.7,21,0,6.49,PK,1616140587
523,Teguise,29.0605,-13.564,62.6,72,20,10.36,ES,1616140589
524,Marawi,7.9986,124.2928,84.0,80,72,7.0,PH,1616140590
525,Kargasok,59.0556,80.8572,29.1,84,100,14.74,RU,1616140592
526,Taicheng,38.731,113.228,33.94,98,100,2.53,CN,1616140593
527,Muli,2.9167,73.5667,83.41,69,69,6.71,MV,1616140594
528,Aksay,47.26,39.87,39.2,93,40,6.71,RU,1616140596
529,Saint-Leu,-21.15,55.2833,86.0,70,20,26.46,RE,1616140597
530,Santa Maria,-29.6842,-53.8069,59.43,98,4,5.68,BR,1616140544
531,Nizhniy Kuranakh,58.8353,125.4869,23.92,83,100,6.96,RU,1616140600
532,Kisi,9.0833,3.85,79.97,68,79,5.66,NG,1616140601
533,Sur,22.5667,59.5289,91.85,29,0,7.83,OM,1616140366
534,Puerto Nariño,-3.7703,-70.3831,71.6,98,100,1.43,CO,1616140604
535,Adrar,20.5022,-10.0711,71.19,11,0,6.98,MR,1616140605
536,Edd,13.9297,41.6925,89.98,35,2,11.54,ER,1616140607
537,Harper,4.375,-7.7169,78.78,80,88,2.04,LR,1616140608
538,Makkah al Mukarramah,21.4267,39.8261,90.57,26,0,6.15,SA,1616140508
539,Kambove,-10.8764,26.5969,69.31,85,84,3.62,CD,1616140611
540,Oranjestad,12.524,-70.027,78.8,73,20,14.97,AW,1616140612
541,Kaeo,-35.1,173.7833,63.0,79,0,1.99,NZ,1616140614
542,Rio Grande,-32.035,-52.0986,64.76,74,72,4.88,BR,1616140615
543,Tame,6.461,-71.73,74.73,66,74,4.76,CO,1616140537
544,Utmanzai,34.188,71.7629,82.4,21,20,6.91,PK,1616140618
545,Pastos Bons,-6.6017,-44.0767,71.1,94,100,2.51,BR,1616140619
546,Poronaysk,49.2167,143.1167,25.97,76,100,13.18,RU,1616140620
547,Bykovo,55.6361,38.0803,32.0,80,75,11.18,RU,1616140622
548,Yangambi,0.8102,24.4336,90.25,44,3,1.03,CD,1616140623
549,Okha,53.5739,142.9478,18.93,79,0,11.99,RU,1616140625
550,Kilinochchi,9.3961,80.3982,87.48,54,57,11.56,LK,1616140352
551,Kajaani,64.2273,27.7285,6.8,78,0,3.44,FI,1616140627
552,Liwale,-9.7667,37.9333,79.09,84,99,3.15,TZ,1616140629
553,Manggar,-2.8833,108.2667,83.68,75,73,5.06,ID,1616140630
554,Santa Comba,43.0331,-8.8093,51.01,87,20,9.22,ES,1616140631
555,Pringsewu,-5.3582,104.9744,84.63,77,95,3.78,ID,1616140633
556,Poum,-20.2333,164.0167,79.75,78,100,16.82,NC,1616140634
557,Kushiro,42.975,144.3747,35.6,69,75,4.61,JP,1616140636
558,Lagan,45.3929,47.3707,43.12,79,100,13.35,RU,1616140637
559,Bandarbeyla,9.4942,50.8122,81.81,59,0,10.83,SO,1616140638
560,Iaçu,-12.7672,-40.2117,67.78,95,86,2.44,BR,1616140640
561,Jumla,29.2747,82.1838,64.29,21,85,7.87,NP,1616140641
562,Barras,-4.2444,-42.2944,72.46,97,79,2.21,BR,1616140585
563,Opuwo,-18.0607,13.84,73.89,59,89,9.51,NA,1616140644
564,Walvis Bay,-22.9575,14.5053,64.4,77,50,9.22,NA,1616140425
565,Muzhi,65.3667,64.6667,3.79,95,100,9.78,RU,1616140646
566,Esim,4.8699,-2.2405,80.46,74,100,4.12,GH,1616140648
567,Ryōtsu-minato,38.0833,138.4333,48.2,66,40,11.5,JP,1616140649
568,Muskegon,43.3,-86.1334,30.99,37,1,8.05,US,1616140651
569,Verkhoyansk,67.5447,133.385,15.8,78,100,13.22,RU,1616140445
570,Wad Medani,14.4012,33.5199,99.07,17,1,13.09,SD,1616140653
571,Daru,-9.0763,143.2092,82.38,80,100,6.73,PG,1616140654
572,Shingū,33.7333,135.9833,62.6,59,20,6.91,JP,1616140656
573,Vallenar,-28.5708,-70.7581,60.22,86,100,1.99,CL,1616140657
574,Mabay,6.0577,124.4666,93.2,46,40,9.22,PH,1616140659
575,Mehamn,71.0357,27.8492,23.0,86,100,25.32,NO,1616140586
576,Son La,21.3167,103.9,96.37,23,53,5.26,VN,1616140661
577,Port Blair,11.6667,92.75,88.79,52,0,5.93,IN,1616140663
578,Bonthe,7.5264,-12.505,76.64,78,15,4.88,SL,1616140664
579,Pandan,14.0453,124.1694,83.89,71,23,9.13,PH,1616140665
580,Bahía Blanca,-38.7196,-62.2724,54.12,51,0,8.01,AR,1616140667
581,São João Batista,-27.2761,-48.8494,68.0,98,29,2.37,BR,1616140668
582,Ende,-8.8432,121.6623,82.33,84,77,2.84,ID,1616140670
583,Wukari,7.85,9.7833,83.17,63,100,7.92,NG,1616140671
584,Sungai Penuh,-2.0833,101.3833,71.65,93,100,2.77,ID,1616140672
585,La Rinconada,37.4873,-5.9826,50.0,53,0,9.22,ES,1616140674
586,Moose Factory,51.2585,-80.6094,10.4,67,1,10.36,CA,1616140675
587,Porto Seguro,-16.4497,-39.0647,71.6,94,40,2.3,BR,1616140437
